shoe_id,cards_remaining,dealer_up,initial_hand,dealer_final,dealer_final_value,player_final,player_final_value,actions_taken,run_count,true_count,win
818655,335,2,"[10, 4]","[2, 10, 4, 5]",21,"[[10, 4]]",[14],[['S']],-12,-1,-1
818655,329,6,"[4, 3]","[6, 9, 4]",19,"[[4, 3, 9]]",[16],"[['H', 'S']]",-10,-1,-1
818655,323,3,"[7, 6]","[3, 2, 5, 6, 2]",18,"[[7, 6]]",[13],[['S']],-6,0,-1
818655,316,3,"[2, 4]","[3, 6, 9]",18,"[[2, 4, 11, 10]]",[17],"[['H', 'H', 'S']]",0,0,-1
818655,309,10,"[5, 9]","[10, 11]",BJ,"[[5, 9]]",[14],[[]],2,0,-1
818655,305,6,"[2, 10]","[6, 5, 2, 10]",23,"[[2, 10]]",[12],[['S']],1,0,1
818655,299,5,"[8, 7]","[5, 6, 6]",17,"[[8, 7]]",[15],[['S']],3,0,-1
818655,294,10,"[5, 10]","[10, 10]",20,"[[5, 10]]",[15],[['R']],6,1,-0.5
818655,290,10,"[10, 8]","[10, 7]",17,"[[10, 8]]",[18],[['S']],4,0,1
818655,286,4,"[3, 8]","[4, 5, 6, 3]",18,"[[3, 8, 10]]",[21],[['D']],2,0,2
818655,279,10,"[6, 11]","[10, 9]",19,"[[6, 11, 11, 7, 7]]",[22],"[['H', 'H', 'H']]",6,1,-1
818655,272,5,"[11, 10]","[5, 10, 7]",22,"[[11, 10]]",['BJ'],[['S']],4,0,1.5
818655,267,4,"[3, 10]","[4, 10, 10]",24,"[[3, 10]]",[13],[['S']],2,0,1
818655,262,8,"[10, 10]","[8, 10]",18,"[[10, 10]]",[20],[['S']],1,0,1
818655,258,6,"[4, 10]","[6, 10, 7]",23,"[[4, 10]]",[14],[['S']],-2,0,1
818655,253,10,"[10, 7]","[10, 4, 7]",21,"[[10, 7]]",[17],[['S']],-2,0,-1
818655,248,9,"[11, 4]","[9, 10]",19,"[[11, 4, 4]]",[19],"[['H', 'S']]",-3,0,0
818655,243,5,"[10, 3]","[5, 5, 7]",17,"[[10, 3]]",[13],[['S']],-3,0,-1
818655,238,10,"[2, 6]","[10, 11]",BJ,"[[2, 6]]",[8],[[]],-1,0,-1
818655,234,5,"[4, 6]","[5, 7, 10]",22,"[[4, 6, 10]]",[20],[['D']],-1,0,2
818655,228,10,"[10, 9]","[10, 10]",20,"[[10, 9]]",[19],[['S']],0,0,-1
818655,224,5,"[10, 11]","[5, 9, 9]",23,"[[10, 11]]",['BJ'],[['S']],-3,0,1.5
818655,219,6,"[4, 2]","[6, 9, 3]",18,"[[4, 2, 10]]",[16],"[['H', 'S']]",-4,0,-1
818655,213,10,"[10, 2]","[10, 2, 9]",21,"[[10, 2, 10]]",[22],[['H']],-1,0,-1
