dealer_up,initial_hand,actions_taken
6,"[2, 10]",[['S']]
10,"[10, 8]",[['S']]
4,"[3, 8]",[['D']]
5,"[11, 10]",[['S']]
4,"[3, 10]",[['S']]
8,"[10, 10]",[['S']]
6,"[4, 10]",[['S']]
5,"[4, 6]",[['D']]
5,"[10, 11]",[['S']]
8,"[9, 10]",[['S']]
2,"[10, 11]",[['S']]
10,"[10, 10]",[['S']]
5,"[4, 10]",[['S']]
8,"[3, 11]","[['H', 'S']]"
3,"[10, 8]",[['S']]
10,"[11, 9]",[['S']]
7,"[10, 6]","[['H', 'S']]"
8,"[9, 10]",[['S']]
3,"[4, 3]","[['H', 'S']]"
4,"[10, 7]",[['S']]
2,"[10, 6]",[['S']]
10,"[10, 10]",[['S']]
10,"[11, 10]",[['S']]
3,"[9, 8]",[['S']]
5,"[2, 5]","[['H', 'S']]"
10,"[10, 9]",[['S']]
3,"[3, 10]",[['S']]
5,"[9, 8]",[['S']]
5,"[10, 4]",[['S']]
2,"[6, 5]",[['D']]
8,"[10, 10]",[['S']]
9,"[8, 5]","[['H', 'H', 'S']]"
10,"[10, 10]",[['S']]
7,"[7, 2]","[['H', 'S']]"
10,"[5, 5]","[['H', 'S']]"
4,"[10, 10]",[['S']]
6,"[7, 10]",[['S']]
9,"[10, 10]",[['S']]
4,"[2, 10]",[['S']]
10,"[10, 8]",[['S']]
8,"[10, 8]",[['S']]
10,"[4, 7]",[['D']]
10,"[3, 9]","[['H', 'S']]"
7,"[8, 10]",[['S']]
10,"[6, 5]",[['D']]
10,"[10, 2]","[['H', 'S']]"
9,"[11, 10]",[['S']]
6,"[2, 3]","[['H', 'S']]"
10,"[7, 10]",[['S']]
3,"[10, 10]",[['S']]
9,"[10, 5]","[['H', 'S']]"
3,"[2, 2]","[['P', 'D'], ['D']]"
4,"[2, 10]",[['S']]
11,"[10, 11]","[['N', 'S']]"
6,"[11, 10]",[['S']]
4,"[6, 6]","[['P', 'S'], ['S']]"
10,"[4, 2]","[['H', 'H', 'S']]"
4,"[11, 10]",[['S']]
7,"[6, 2]","[['H', 'S']]"
4,"[10, 11]",[['S']]
7,"[10, 8]",[['S']]
5,"[10, 10]",[['S']]
10,"[11, 11]","[['P'], []]"
8,"[9, 11]",[['S']]
11,"[10, 3]","[['N', 'H', 'S']]"
10,"[2, 8]","[['H', 'H', 'S']]"
4,"[11, 2]","[['H', 'H', 'S']]"
7,"[10, 10]",[['S']]
2,"[2, 10]","[['H', 'S']]"
2,"[4, 10]",[['S']]
7,"[5, 6]",[['D']]
9,"[5, 10]","[['H', 'S']]"
10,"[7, 10]",[['S']]
3,"[7, 11]",[['D']]
2,"[10, 5]",[['S']]
2,"[10, 10]",[['S']]
10,"[4, 7]",[['D']]
6,"[6, 6]","[['P', 'S'], ['D']]"
11,"[6, 11]","[['N', 'H', 'S']]"
6,"[7, 2]",[['D']]
11,"[10, 10]","[['N', 'S']]"
2,"[7, 9]",[['S']]
3,"[10, 9]",[['S']]
9,"[9, 8]",[['S']]
2,"[10, 8]",[['S']]
5,"[9, 10]",[['S']]
11,"[2, 10]","[['N', 'H', 'S']]"
10,"[10, 7]",[['S']]
3,"[10, 3]",[['S']]
10,"[10, 3]","[['H', 'H', 'S']]"
6,"[3, 10]",[['S']]
10,"[10, 10]",[['S']]
4,"[6, 8]",[['S']]
10,"[2, 10]","[['H', 'H', 'S']]"
11,"[10, 10]","[['N', 'S']]"
10,"[9, 8]",[['S']]
2,"[4, 3]","[['H', 'S']]"
10,"[10, 10]",[['S']]
10,"[11, 10]",[['S']]
9,"[10, 10]",[['S']]
4,"[2, 3]","[['H', 'S']]"
2,"[6, 5]",[['D']]
8,"[3, 11]","[['H', 'H', 'S']]"
7,"[2, 11]","[['H', 'S']]"
10,"[11, 4]","[['H', 'S']]"
5,"[10, 11]",[['S']]
2,"[4, 7]",[['D']]
10,"[7, 5]","[['H', 'S']]"
10,"[10, 4]","[['H', 'S']]"
3,"[11, 5]","[['H', 'S']]"
4,"[2, 2]","[['P', 'S'], ['H', 'S']]"
8,"[9, 2]",[['D']]
11,"[10, 10]","[['N', 'S']]"
3,"[11, 10]",[['S']]
5,"[8, 8]","[['P', 'D'], ['S']]"
5,"[3, 4]","[['H', 'H', 'S']]"
7,"[3, 5]","[['H', 'S']]"
6,"[10, 11]",[['S']]
9,"[11, 5]","[['H', 'S']]"
10,"[10, 11]",[['S']]
4,"[11, 10]",[['S']]
4,"[4, 2]","[['H', 'S']]"
9,"[10, 3]","[['H', 'S']]"
10,"[10, 10]",[['S']]
5,"[6, 6]","[['P', 'S'], ['S']]"
6,"[10, 10]",[['S']]
4,"[10, 3]",[['S']]
6,"[6, 4]",[['D']]
5,"[4, 8]",[['S']]
9,"[10, 10]",[['S']]
6,"[11, 10]",[['S']]
5,"[10, 8]",[['S']]
10,"[10, 7]",[['S']]
10,"[10, 11]",[['S']]
2,"[9, 5]",[['S']]
9,"[10, 10]",[['S']]
6,"[3, 2]","[['H', 'H', 'H', 'S']]"
8,"[11, 5]","[['H', 'S']]"
7,"[10, 10]",[['S']]
6,"[10, 10]",[['S']]
6,"[3, 5]","[['H', 'S']]"
7,"[6, 2]","[['H', 'S']]"
7,"[10, 9]",[['S']]
7,"[10, 11]",[['S']]
5,"[3, 7]",[['D']]
4,"[10, 10]",[['S']]
3,"[3, 11]","[['H', 'S']]"
7,"[9, 3]","[['H', 'S']]"
3,"[5, 5]",[['D']]
8,"[11, 10]",[['S']]
10,"[7, 4]",[['D']]
2,"[10, 10]",[['S']]
2,"[10, 7]",[['S']]
4,"[10, 10]",[['S']]
3,"[10, 10]",[['S']]
6,"[11, 3]",[['D']]
5,"[7, 6]",[['S']]
3,"[7, 4]",[['D']]
9,"[10, 11]",[['S']]
4,"[7, 10]",[['S']]
8,"[10, 2]","[['H', 'S']]"
2,"[4, 6]",[['D']]
11,"[10, 3]","[['N', 'H', 'S']]"
9,"[9, 5]","[['H', 'H', 'S']]"
6,"[9, 10]",[['S']]
10,"[11, 10]",[['S']]
10,"[10, 10]",[['S']]
10,"[9, 5]","[['H', 'S']]"
11,"[10, 10]","[['N', 'S']]"
10,"[2, 5]","[['H', 'H', 'S']]"
7,"[4, 10]","[['H', 'S']]"
6,"[10, 4]",[['S']]
4,"[11, 10]",[['S']]
4,"[7, 10]",[['S']]
6,"[5, 7]",[['S']]
2,"[7, 10]",[['S']]
5,"[11, 10]",[['S']]
3,"[10, 10]",[['S']]
10,"[3, 6]","[['H', 'S']]"
10,"[6, 3]","[['H', 'S']]"
10,"[10, 2]","[['H', 'S']]"
6,"[6, 10]",[['S']]
2,"[10, 10]",[['S']]
11,"[4, 5]","[['N', 'H', 'S']]"
4,"[10, 4]",[['S']]
5,"[9, 10]",[['S']]
2,"[10, 10]",[['S']]
5,"[6, 8]",[['S']]
10,"[3, 9]","[['H', 'S']]"
4,"[10, 10]",[['S']]
10,"[3, 11]","[['H', 'H', 'S']]"
10,"[2, 2]","[['H', 'H', 'S']]"
7,"[9, 10]",[['S']]
10,"[6, 11]","[['H', 'S']]"
6,"[7, 10]",[['S']]
9,"[6, 3]","[['H', 'H', 'S']]"
5,"[10, 3]",[['S']]
6,"[5, 10]",[['S']]
10,"[3, 3]","[['H', 'H', 'S']]"
9,"[5, 5]",[['D']]
6,"[8, 10]",[['S']]
3,"[10, 2]","[['H', 'S']]"
9,"[10, 10]",[['S']]
10,"[10, 7]",[['S']]
2,"[10, 10]",[['S']]
6,"[11, 10]",[['S']]
2,"[10, 9]",[['S']]
8,"[11, 6]","[['H', 'S']]"
7,"[8, 5]","[['H', 'S']]"
10,"[2, 7]","[['H', 'S']]"
4,"[5, 10]",[['S']]
10,"[9, 3]","[['H', 'S']]"
2,"[11, 4]","[['H', 'H', 'S']]"
10,"[5, 2]","[['H', 'H', 'S']]"
5,"[6, 4]",[['D']]
6,"[6, 11]",[['D']]
