dealer_up,initial_hand,actions_taken,win
2,"[10, 4]",[['S']],0
6,"[4, 3]","[['H', 'S']]",0
3,"[7, 6]",[['S']],0
3,"[2, 4]","[['H', 'H', 'S']]",0
10,"[5, 9]",[[]],0
6,"[2, 10]",[['S']],1
5,"[8, 7]",[['S']],0
10,"[5, 10]",[['R']],0
10,"[10, 8]",[['S']],1
4,"[3, 8]",[['D']],1
10,"[6, 11]","[['H', 'H', 'H']]",0
5,"[11, 10]",[['S']],1
4,"[3, 10]",[['S']],1
8,"[10, 10]",[['S']],1
6,"[4, 10]",[['S']],1
10,"[10, 7]",[['S']],0
9,"[11, 4]","[['H', 'S']]",0
5,"[10, 3]",[['S']],0
10,"[2, 6]",[[]],0
5,"[4, 6]",[['D']],1
10,"[10, 9]",[['S']],0
5,"[10, 11]",[['S']],1
6,"[4, 2]","[['H', 'S']]",0
10,"[10, 2]",[['H']],0
11,"[11, 10]",[['N']],0
8,"[9, 10]",[['S']],1
2,"[10, 11]",[['S']],1
2,"[4, 5]","[['H', 'H', 'S']]",0
10,"[10, 10]",[['S']],1
5,"[4, 10]",[['S']],1
9,"[3, 5]","[['H', 'H']]",0
8,"[3, 11]","[['H', 'S']]",1
10,"[11, 4]","[['H', 'S']]",0
6,"[8, 4]",[['S']],0
3,"[10, 8]",[['S']],1
4,"[8, 11]",[['S']],0
8,"[4, 10]",[['H']],0
2,"[10, 10]",[['S']],0
10,"[11, 9]",[['S']],1
7,"[10, 6]","[['H', 'S']]",1
3,"[11, 8]",[['S']],0
10,"[10, 6]",[['R']],0
8,"[9, 10]",[['S']],1
10,"[3, 7]",[[]],0
3,"[4, 3]","[['H', 'S']]",1
4,"[10, 7]",[['S']],1
2,"[10, 6]",[['S']],1
11,"[9, 2]",[['N']],0
10,"[10, 10]",[['S']],1
2,"[10, 2]","[['H', 'S']]",0
10,"[9, 4]",[[]],0
10,"[4, 8]",[['H']],0
5,"[8, 4]",[['S']],0
11,"[4, 6]",[['N']],0
10,"[6, 3]","[['H', 'S']]",0
10,"[11, 10]",[['S']],1
3,"[9, 8]",[['S']],1
3,"[10, 10]",[['S']],0
6,"[4, 10]",[['S']],0
5,"[2, 5]","[['H', 'S']]",1
8,"[5, 6]",[['D']],0
7,"[5, 5]",[['D']],0
10,"[10, 9]",[['S']],1
9,"[8, 4]",[['H']],0
3,"[3, 10]",[['S']],1
8,"[3, 10]","[['H', 'H']]",0
11,"[4, 10]","[['N', 'H', 'S']]",0
11,"[10, 7]","[['N', 'R']]",0
5,"[9, 8]",[['S']],1
