dealer_up,initial_hand,dealer_final,dealer_final_value,player_final,player_final_value,actions_taken,win
2,"[10, 4]","[2, 10, 4, 5]",21,"[[10, 4]]",[14],[['S']],-1.0
6,"[4, 3]","[6, 9, 4]",19,"[[4, 3, 9]]",[16],"[['H', 'S']]",-1.0
3,"[7, 6]","[3, 2, 5, 6, 2]",18,"[[7, 6]]",[13],[['S']],-1.0
3,"[2, 4]","[3, 6, 9]",18,"[[2, 4, 11, 10]]",[17],"[['H', 'H', 'S']]",-1.0
10,"[5, 9]","[10, 11]",BJ,"[[5, 9]]",[14],[[]],-1.0
6,"[2, 10]","[6, 5, 2, 10]",23,"[[2, 10]]",[12],[['S']],1.0
5,"[8, 7]","[5, 6, 6]",17,"[[8, 7]]",[15],[['S']],-1.0
10,"[5, 10]","[10, 10]",20,"[[5, 10]]",[15],[['R']],-0.5
10,"[10, 8]","[10, 7]",17,"[[10, 8]]",[18],[['S']],1.0
4,"[3, 8]","[4, 5, 6, 3]",18,"[[3, 8, 10]]",[21],[['D']],2.0
10,"[6, 11]","[10, 9]",19,"[[6, 11, 11, 7, 7]]",[22],"[['H', 'H', 'H']]",-1.0
5,"[11, 10]","[5, 10, 7]",22,"[[11, 10]]",['BJ'],[['S']],1.5
4,"[3, 10]","[4, 10, 10]",24,"[[3, 10]]",[13],[['S']],1.0
8,"[10, 10]","[8, 10]",18,"[[10, 10]]",[20],[['S']],1.0
6,"[4, 10]","[6, 10, 7]",23,"[[4, 10]]",[14],[['S']],1.0
10,"[10, 7]","[10, 4, 7]",21,"[[10, 7]]",[17],[['S']],-1.0
9,"[11, 4]","[9, 10]",19,"[[11, 4, 4]]",[19],"[['H', 'S']]",0.0
5,"[10, 3]","[5, 5, 7]",17,"[[10, 3]]",[13],[['S']],-1.0
10,"[2, 6]","[10, 11]",BJ,"[[2, 6]]",[8],[[]],-1.0
5,"[4, 6]","[5, 7, 10]",22,"[[4, 6, 10]]",[20],[['D']],2.0
10,"[10, 9]","[10, 10]",20,"[[10, 9]]",[19],[['S']],-1.0
5,"[10, 11]","[5, 9, 9]",23,"[[10, 11]]",['BJ'],[['S']],1.5
6,"[4, 2]","[6, 9, 3]",18,"[[4, 2, 10]]",[16],"[['H', 'S']]",-1.0
10,"[10, 2]","[10, 2, 9]",21,"[[10, 2, 10]]",[22],[['H']],-1.0
11,"[11, 10]","[11, 10]",BJ,"[[11, 10]]",['BJ'],[['N']],0.0
8,"[9, 10]","[8, 6, 3]",17,"[[9, 10]]",[19],[['S']],1.0
2,"[10, 11]","[2, 2, 9, 7]",20,"[[10, 11]]",['BJ'],[['S']],1.5
2,"[4, 5]","[2, 7, 10]",19,"[[4, 5, 3, 5]]",[17],"[['H', 'H', 'S']]",-1.0
10,"[10, 10]","[10, 2, 11, 10]",23,"[[10, 10]]",[20],[['S']],1.0
5,"[4, 10]","[5, 6, 5, 6]",22,"[[4, 10]]",[14],[['S']],1.0
9,"[3, 5]","[9, 6, 2]",17,"[[3, 5, 8, 6]]",[22],"[['H', 'H']]",-1.0
8,"[3, 11]","[8, 10]",18,"[[3, 11, 6]]",[20],"[['H', 'S']]",1.0
10,"[11, 4]","[10, 3, 7]",20,"[[11, 4, 5]]",[20],"[['H', 'S']]",0.0
6,"[8, 4]","[6, 3, 11]",20,"[[8, 4]]",[12],[['S']],-1.0
3,"[10, 8]","[3, 4, 10]",17,"[[10, 8]]",[18],[['S']],1.0
4,"[8, 11]","[4, 7, 10]",21,"[[8, 11]]",[19],[['S']],-1.0
8,"[4, 10]","[8, 3, 10]",21,"[[4, 10, 9]]",[23],[['H']],-1.0
2,"[10, 10]","[2, 9, 10]",21,"[[10, 10]]",[20],[['S']],-1.0
10,"[11, 9]","[10, 5, 7]",22,"[[11, 9]]",[20],[['S']],1.0
